,battery_pct,lat,lon,is_disabled,is_reserved,vehicle_type_id,bike_id,current_range_meters
242,0.81,51.04501,-114.0685,False,False,e8fbc1f0-3504-3dff-852a-9e6dab5e204d,0c1acb90-d83b-36b6-be00-b3cae9f5610f,22440.0
243,0.71,51.06875,-114.06005,False,False,e8fbc1f0-3504-3dff-852a-9e6dab5e204d,f7814d3e-3dc9-3dd5-95d4-513862d26e55,19640.0
244,0.89,51.04156,-114.06829,False,False,e8fbc1f0-3504-3dff-852a-9e6dab5e204d,5a66ed38-ce06-3036-8615-bbc44e557b23,24680.0
245,0.67,51.05021,-114.06732,False,False,e8fbc1f0-3504-3dff-852a-9e6dab5e204d,425abed0-202e-3088-9a5b-16ba5b92689f,18520.0
246,0.58,51.05201,-114.03564,False,False,e8fbc1f0-3504-3dff-852a-9e6dab5e204d,34e88c7b-56c6-3024-89f1-decb0d6ec88f,16020.0
247,1.0,51.04077,-114.07667,False,False,e8fbc1f0-3504-3dff-852a-9e6dab5e204d,807280ab-73ac-3a14-a26f-ff2bfcfa5c90,27770.0
248,0.68,51.03977,-114.02111,False,False,e8fbc1f0-3504-3dff-852a-9e6dab5e204d,409a2b40-0df6-3f86-9616-8c9c9065e256,18800.0
249,0.54,51.04699,-114.08379,False,False,e8fbc1f0-3504-3dff-852a-9e6dab5e204d,5f777ba9-8947-380d-9974-8be2b11701a0,14900.0
250,0.54,51.05141,-114.06951,False,False,e8fbc1f0-3504-3dff-852a-9e6dab5e204d,5c40238b-16bd-3e3a-863e-a803dd0d482a,14900.0
251,0.44,51.04935,-114.0667,False,False,e8fbc1f0-3504-3dff-852a-9e6dab5e204d,fc79429c-c5ff-3364-ba22-adffac293209,12130.0
252,0.43,51.04258,-114.0386,False,False,e8fbc1f0-3504-3dff-852a-9e6dab5e204d,fcc97e7a-b650-396f-ad41-e79984b8f215,11850.0
253,0.48,51.06477,-114.15317,False,False,e8fbc1f0-3504-3dff-852a-9e6dab5e204d,c136f5cc-745d-364a-a5ae-d122a756a444,13240.0
254,0.82,51.04072,-114.06664,False,False,e8fbc1f0-3504-3dff-852a-9e6dab5e204d,ffd7713e-907d-3876-a25d-91d2b01aa984,22720.0
255,0.78,51.05162,-114.07082,False,False,e8fbc1f0-3504-3dff-852a-9e6dab5e204d,dfa86965-5923-3c48-b6b9-e8ef86b54efd,21600.0
256,1.0,51.04194,-114.08913,False,False,e8fbc1f0-3504-3dff-852a-9e6dab5e204d,68387ca7-ac25-3992-879e-82adf97ba4a4,27770.0
257,0.59,51.037261,-114.086655,False,False,e8fbc1f0-3504-3dff-852a-9e6dab5e204d,d45c2f07-5337-367e-870f-3d1bc313f497,16300.0
258,0.89,51.03804,-114.08946,False,False,e8fbc1f0-3504-3dff-852a-9e6dab5e204d,e874be87-3b3c-3c3a-a5ec-d45c0f5f582f,24680.0
259,0.39,51.04293,-114.0839,False,False,e8fbc1f0-3504-3dff-852a-9e6dab5e204d,66b89fed-4924-39a0-921d-58a9aebcf882,10740.0
260,0.46,51.04984,-114.06833,False,False,e8fbc1f0-3504-3dff-852a-9e6dab5e204d,375a7bbd-a06a-39c8-bf1f-2b0a4b95ad39,12680.0
